Post Number,Platform,Username,Content URL,Text,Creation Date,Likes,Comments,Additional Info,cleaned_text,cluster
17,YouTube,@madgunsamalgamated9569,https://www.youtube.com/watch?v=4R19-gsUoio,"I have a Black Pit Bull and speak a bit of the language, and what he ACTUALLY said was, &quot;I really wish you would put that insipid, sneaky creature outside&quot;.",,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",black pit bull speak bit language actually said quot really wish would put insipid sneaky creature outside quot,11
18,YouTube,@cherylpereira27,https://www.youtube.com/watch?v=4R19-gsUoio,❤❤❤,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",,5
19,YouTube,@blueskies159,https://www.youtube.com/watch?v=4R19-gsUoio,"<a href=""https://www.youtube.com/watch?v=4R19-gsUoio&amp;t=49"">0:49</a> 🦊: Woooo!! I feel good~~ 💃🕺💃🕺💃🕺💃🕺",,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",href woooo feel good,4
20,YouTube,@NickKennedy83,https://www.youtube.com/watch?v=4R19-gsUoio,❤❤❤ goodness,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",goodness,5
21,YouTube,@pretty_flour_boy,https://www.youtube.com/watch?v=4R19-gsUoio,&quot; did the devil raise you?&quot; <br>&quot;RAUGHHHHHHHHH&quot;,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",quot devil raise quot br quot raughhhhhhhhh quot,11
22,YouTube,@swarsiddhisharma,https://www.youtube.com/watch?v=4R19-gsUoio,ohhhhhhhhhhaaaaaaaaaaaaaaaaaaaaaaaaaAAAAA!,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",ohhhhhhhhhhaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,5
23,YouTube,@TheFearlessBabe,https://www.youtube.com/watch?v=4R19-gsUoio,😂😂😂😂not him talking,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",talking,5
24,YouTube,@Kici_Kici_Miau,https://www.youtube.com/watch?v=4R19-gsUoio,if a dog is not yours don&#39;t pet it exesivly they might be trained to bare with it but dogs in general hate it. Plus they&#39;re not toys.,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",dog 39 pet exesivly might trained bare dogs general hate plus 39 toys,8
25,YouTube,@AmayaMitchell-z1q,https://www.youtube.com/watch?v=4R19-gsUoio,❤❤❤,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",,5
26,YouTube,@Jayforeman3047,https://www.youtube.com/watch?v=4R19-gsUoio,So THAT’S what the fox said?,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",fox said,2
27,YouTube,@Imasmartishfella,https://www.youtube.com/watch?v=4R19-gsUoio,"The third one, the man is my moms new bf guys what do I do",,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",third one man moms new bf guys,8
28,YouTube,@nocuer,https://www.youtube.com/watch?v=4R19-gsUoio,&quot;Did the devil raise you?&quot; I CANT- 😭,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",quot devil raise quot cant,11
29,YouTube,@sekenamcmurren2217,https://www.youtube.com/watch?v=4R19-gsUoio,😂❤The Husky can sing! 🐺🐾🎵,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",husky sing,0
30,YouTube,@martika-Taty24,https://www.youtube.com/watch?v=4R19-gsUoio,Why is a child running and screaming because a cat is wanting to come close to him? What kind of humans are we raising?,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",child running screaming cat wanting come close kind humans raising,5
31,YouTube,@GFUELCLUBDD,https://www.youtube.com/watch?v=4R19-gsUoio,Let’s get the likes past 666 we are people of god,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",let get likes past 666 people god,8
32,YouTube,@miyonyan-nyan3350,https://www.youtube.com/watch?v=4R19-gsUoio,Aww foxx,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",aww foxx,5
33,YouTube,@justajokeforme2854,https://www.youtube.com/watch?v=4R19-gsUoio,1st one looks like randy the snitch,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",1st one looks like randy snitch,12
