Post Number,Platform,Username,Content URL,Text,Creation Date,Likes,Comments,Additional Info,cleaned_text,cluster
82,YouTube,@jlynn1001,https://www.youtube.com/watch?v=4R19-gsUoio,That positioning of helping the constipated  dog is just asking for trouble…dont ask me how i know,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",positioning helping constipated dog asking trouble dont ask know,5
83,YouTube,@Reaper12131,https://www.youtube.com/watch?v=4R19-gsUoio,"Cop Dog: This is my reward. Yes, this is my reward, for my partner not sharing the jelly doughnuts with me.",,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",cop dog reward yes reward partner sharing jelly doughnuts,5
84,YouTube,@myrasvlogs787,https://www.youtube.com/watch?v=4R19-gsUoio,The fox trying to bark 😭🤣🐺,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",fox trying bark,2
85,YouTube,@lemonwasnthere,https://www.youtube.com/watch?v=4R19-gsUoio,THE HERO OF MY KROTCH!,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",hero krotch,5
86,YouTube,@KAIsibs,https://www.youtube.com/watch?v=4R19-gsUoio,"<a href=""https://www.youtube.com/watch?v=4R19-gsUoio&amp;t=51"">0:51</a> Those bush wolf things in lethal company be like",,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",href bush wolf things lethal company like,12
87,YouTube,@Sc0oByGaM1nG,https://www.youtube.com/watch?v=4R19-gsUoio,the first dog looked like a service dog... most the time when a service dog is &quot;on the job&quot; its distracting for the dog to be petted. ive always asked people if i could pet their dog and not just run up and start petting the dog. a lot of people dont like you to pet their service animal because of the fact its distracting for the animal when they &quot;have a job to do&quot;,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",first dog looked like service dog time service dog quot job quot distracting dog petted ive always asked people could pet dog run start petting dog lot people dont like pet service animal fact distracting animal quot job quot,5
88,YouTube,@kristinaadams2745,https://www.youtube.com/watch?v=4R19-gsUoio,Can we stop calling dogs idiots?,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",stop calling dogs idiots,6
89,YouTube,@chelsea5152,https://www.youtube.com/watch?v=4R19-gsUoio,"Awww, that last baby looked scared",,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",awww last baby looked scared,8
90,YouTube,@reni451,https://www.youtube.com/watch?v=4R19-gsUoio,That dog sounds like that dude from Chowder lol,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",dog sounds like dude chowder lol,5
91,YouTube,@Hattie-Taylorsversion2.0,https://www.youtube.com/watch?v=4R19-gsUoio,&quot;Did the devil raise you?&quot;<br><br>...&quot;RAAAEEEHEHEHHEEE&quot;,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",quot devil raise quot br br quot raaaeeehehehheee quot,11
92,YouTube,@AmberRisdon,https://www.youtube.com/watch?v=4R19-gsUoio,The Doberman going from scary to cuddle bug is legit true,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",doberman going scary cuddle bug legit true,5
93,YouTube,@Lyra-q3c,https://www.youtube.com/watch?v=4R19-gsUoio,Yhat husky can go higher than me 😂😂,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",yhat husky go higher,0
94,YouTube,@lollocabina1880,https://www.youtube.com/watch?v=4R19-gsUoio,&quot;Did the devil raise you?☺️&quot;<br>&quot;OOOAAAAAHHH👹&quot;,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",quot devil raise quot br quot oooaaaaahhh quot,11
95,YouTube,@shun-li8204,https://www.youtube.com/watch?v=4R19-gsUoio,I swear pets can actually understand human languages but pretend not to so they don&#39;t have to pay taxes,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",swear pets actually understand human languages pretend 39 pay taxes,8
96,YouTube,@drago1uk2000,https://www.youtube.com/watch?v=4R19-gsUoio,"I know that husky, it&#39;s the cleric beast husky.",,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",know husky 39 cleric beast husky,0
97,YouTube,@Preppyqueen31,https://www.youtube.com/watch?v=4R19-gsUoio,In the second one I was like “ HUG THE DANG DOG BRO”😭😭😂😂,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",second one like hug dang dog bro,1
98,YouTube,@chrispatles4077,https://www.youtube.com/watch?v=4R19-gsUoio,That first dog looks like its having a silent panic attac or mild axneity,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",first dog looks like silent panic attac mild axneity,12
99,YouTube,@SGKeiana,https://www.youtube.com/watch?v=4R19-gsUoio,"that husky sounds like me when I yawn, I do it when I&#39;m goofy tired, lol",,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",husky sounds like yawn 39 goofy tired lol,8
100,YouTube,@angeliasalah4271,https://www.youtube.com/watch?v=4R19-gsUoio,The 2nd dog is 100% my dog 😂,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",2nd dog 100 dog,5
