Post Number,Platform,Username,Content URL,Text,Creation Date,Likes,Comments,Additional Info,cleaned_text,sentiment_score,sentiment_category
20,YouTube,@cronchbabies,https://www.youtube.com/watch?v=qVhAzSwJF-U,Nice,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",nice,0.4215,Positive
21,YouTube,@restugusti,https://www.youtube.com/watch?v=qVhAzSwJF-U,lucu banget,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",lucu banget,0.0,Neutral
22,YouTube,@GabiGabi-q1b,https://www.youtube.com/watch?v=qVhAzSwJF-U,😂😂😂😂😂,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
23,YouTube,@watiwatini8752,https://www.youtube.com/watch?v=qVhAzSwJF-U,so cute ♥️♥️,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",cute,0.4588,Positive
24,YouTube,@Mhmd-jm1bq,https://www.youtube.com/watch?v=qVhAzSwJF-U,❤❤❤❤❤🌹🌹😍😍😘☺️☺️🥰😘🔔,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
25,YouTube,@babyandme7863,https://www.youtube.com/watch?v=qVhAzSwJF-U,thanks for 100 subscribers 😢,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",thanks 100 subscribers,0.4404,Positive
26,YouTube,@dulquifali8218,https://www.youtube.com/watch?v=qVhAzSwJF-U,Cantiknya ❤😂😅,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",cantiknya,0.0,Neutral
27,YouTube,@CoolBerryChannel,https://www.youtube.com/watch?v=qVhAzSwJF-U,This compilation is pure joy 🥰🥰,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",compilation pure joy,0.5859,Positive
28,YouTube,@AurazBeaute,https://www.youtube.com/watch?v=qVhAzSwJF-U,Bc baby,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",bc baby,0.0,Neutral
29,YouTube,@LifewithLilP,https://www.youtube.com/watch?v=qVhAzSwJF-U,This is how you get baby fever 🥹🤭😳🙄😜,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",get baby fever,0.0,Neutral
