Post Number,Platform,Username,Content URL,Text,Creation Date,Likes,Comments,Additional Info,index,cleaned_text,segment
13,YouTube,@sid8gerrard,https://www.youtube.com/watch?v=dwg4BeFrx9g,React to the trailer of Sacred Games and Bhavesh Joshi.,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",335,react trailer sacred games bhavesh joshi,9
14,YouTube,@syedarfaat7499,https://www.youtube.com/watch?v=dwg4BeFrx9g,Pls react to aib podcast ft. Vk ab Chahal and mccalum,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",336,pls react aib podcast ft vk ab chahal mccalum,9
15,YouTube,@aditeerao9455,https://www.youtube.com/watch?v=dwg4BeFrx9g,I agree w/ u👍,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",337,agree w u,9
16,YouTube,@dharmilshah422,https://www.youtube.com/watch?v=dwg4BeFrx9g,Farrooq react to &#39;Bhavesh Joshi Superhero&#39;,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",338,farrooq react 39 bhavesh joshi superhero 39,9
17,YouTube,@dharmilshah422,https://www.youtube.com/watch?v=dwg4BeFrx9g,Farrooq react to &#39;Bhavesh Joshi Superhero&#39;,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",339,farrooq react 39 bhavesh joshi superhero 39,9
18,YouTube,@dharmilshah422,https://www.youtube.com/watch?v=dwg4BeFrx9g,Farrooq react to &#39;Bhavesh Joshi Superhero&#39;,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",340,farrooq react 39 bhavesh joshi superhero 39,9
19,YouTube,@dharmilshah422,https://www.youtube.com/watch?v=dwg4BeFrx9g,Farrooq react to &#39;Bhavesh Joshi Superhero&#39;,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",341,farrooq react 39 bhavesh joshi superhero 39,9
20,YouTube,@gyaneshchaudhary4486,https://www.youtube.com/watch?v=dwg4BeFrx9g,try jarur kariya karne ki i would love to watch it,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",342,try jarur kariya karne ki would love watch,9
21,YouTube,@bilalaley1425,https://www.youtube.com/watch?v=dwg4BeFrx9g,Deadpool2 trailer react pls,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",343,deadpool2 trailer react pls,9
22,YouTube,@punittiwari3946,https://www.youtube.com/watch?v=dwg4BeFrx9g,Reactions to make joke of,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",344,reactions make joke,9
23,YouTube,@fathimask3513,https://www.youtube.com/watch?v=dwg4BeFrx9g,Where is part 2?,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",345,part 2,9
24,YouTube,@mindditt1546,https://www.youtube.com/watch?v=dwg4BeFrx9g,"Nepotism sucks. Read more about it. Ranbir is good actor but that doesn&#39;t make nepotism a good thing, you are so wrong. <br><br>It&#39;s not like if Ranbir wasn&#39;t there in Bollywood, it would be the worst thing. We could do without Ranbir but we can&#39;t do with 100 other actors having godfathers.",,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",346,nepotism sucks read ranbir good actor 39 make nepotism good thing wrong br br 39 like ranbir 39 bollywood would worst thing could without ranbir 39 100 actors godfathers,9
25,YouTube,@sauravchoudhary1742,https://www.youtube.com/watch?v=dwg4BeFrx9g,"Ranbeer kapoor is looking like LOKI , isn,t he?",,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",347,ranbeer kapoor looking like loki,9
26,YouTube,@vishaltiwari6014,https://www.youtube.com/watch?v=dwg4BeFrx9g,Bro he used the word prototype instead of typical because of the same media he is talking about.,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",348,bro used word prototype instead typical media talking,9
27,YouTube,@ranveer1171,https://www.youtube.com/watch?v=dwg4BeFrx9g,where is part 2,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",349,part 2,9
28,YouTube,@WildModesty,https://www.youtube.com/watch?v=dwg4BeFrx9g,"Thank you for mentioning the &#39;prototype&#39; thing! Hahah. It kept bothering me each time he said it. Yeah, I think he means &#39;typical&#39; or perhaps something more like &#39;stock&#39;. As in, &quot;this is my stock answer to nepotism&quot; or &quot;these are the stock questions I get&quot;.",,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",350,thank mentioning 39 prototype 39 thing hahah kept bothering time said yeah think means 39 typical 39 perhaps something like 39 stock 39 quot stock answer nepotism quot quot stock questions get quot,9
29,YouTube,@Ak1996feb,https://www.youtube.com/watch?v=dwg4BeFrx9g,"Ranbeer is undoubtedly a great actor, but why is he so negative? <br>No wonder Deepika has to go through depression.",,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",351,ranbeer undoubtedly great actor negative br wonder deepika go depression,9
30,YouTube,@yogeshtupe274,https://www.youtube.com/watch?v=dwg4BeFrx9g,"bhai galat hai yeh...part 2, 3 ...kidhar hai????",,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",352,bhai galat hai yeh part 2 3 kidhar hai,9
31,YouTube,@robbieabraham9850,https://www.youtube.com/watch?v=dwg4BeFrx9g,react to nawazudin&#39;s podcast of aib ......its great,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",353,react nawazudin 39 podcast aib great,9
32,YouTube,@aishik5127,https://www.youtube.com/watch?v=dwg4BeFrx9g,Bhai audio ka thoda problem lag raha hai,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",354,bhai audio ka thoda problem lag raha hai,9
33,YouTube,@biswajitjena1314,https://www.youtube.com/watch?v=dwg4BeFrx9g,Bollywood is really gifted to have Ranbir Kapoor. 👌👌,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",355,bollywood really gifted ranbir kapoor,9
34,YouTube,@DeepJadeja-bn9gf,https://www.youtube.com/watch?v=dwg4BeFrx9g,kya lakdiyo ki tarha eyebrowz kiya he..hahaahhaa..funny pakiz....such a fudduz..,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",356,kya lakdiyo ki tarha eyebrowz kiya hahaahhaa funny pakiz fudduz,9
35,YouTube,@drsheetal574,https://www.youtube.com/watch?v=dwg4BeFrx9g,Apkii teee mast h siirrr 😄😄,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",357,apkii teee mast h siirrr,9
36,YouTube,@SucHIT1,https://www.youtube.com/watch?v=dwg4BeFrx9g,bs dislike krne aya tha as always.,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",358,bs dislike krne aya tha always,9
37,YouTube,@chaitrathakur5353,https://www.youtube.com/watch?v=dwg4BeFrx9g,Full video?,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",359,full video,9
38,YouTube,@aadishdhoka9242,https://www.youtube.com/watch?v=dwg4BeFrx9g,React to beyounick,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",360,react beyounick,9
39,YouTube,@keransharma2641,https://www.youtube.com/watch?v=dwg4BeFrx9g,React to make joke of holi debate video,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",361,react make joke holi debate video,9
40,YouTube,@RajKumar-sl6cd,https://www.youtube.com/watch?v=dwg4BeFrx9g,I hate this video<br>Why are making videos,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",362,hate video br making videos,9
41,YouTube,@ajinkyakaloti8827,https://www.youtube.com/watch?v=dwg4BeFrx9g,Farrukh bhai aaj ka audio quality bahut bekar hai aapki baki videos se... kya hua??,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",363,farrukh bhai aaj ka audio quality bahut bekar hai aapki baki videos se kya hua,9
42,YouTube,@ajetmohansingh7130,https://www.youtube.com/watch?v=dwg4BeFrx9g,"He is damn talented... Rockstar, Barfi,Tamasha, Rocket Singh, wake up Sid ❤❤❤",,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",364,damn talented rockstar barfi tamasha rocket singh wake sid,9
43,YouTube,@omegablaze8008,https://www.youtube.com/watch?v=dwg4BeFrx9g,part 2?,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",365,part 2,9
44,YouTube,@BAGHEERA1080ti,https://www.youtube.com/watch?v=dwg4BeFrx9g,bhai space-bar toot jayega ...!,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",366,bhai space bar toot jayega,9
45,YouTube,@souradeepbhattacharya5503,https://www.youtube.com/watch?v=dwg4BeFrx9g,"Tbh, fawad is a horrible actor but yeah he did nothing and have nothing to do with politics.",,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",367,tbh fawad horrible actor yeah nothing nothing politics,9
46,YouTube,@Unknown-tx8xe,https://www.youtube.com/watch?v=dwg4BeFrx9g,Sir please request you to react on Dino James &quot;Maa&quot; video.  I believe you feel so connected with that,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",368,sir please request react dino james quot maa quot video believe feel connected,9
47,YouTube,@anakhnair9640,https://www.youtube.com/watch?v=dwg4BeFrx9g,HellOoOoOoOoOo,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",369,helloooooooooo,9
48,YouTube,@almaszakir8403,https://www.youtube.com/watch?v=dwg4BeFrx9g,Nice shirt,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",370,nice shirt,10
49,YouTube,@warriorclan543,https://www.youtube.com/watch?v=dwg4BeFrx9g,Ranveer Kapoor is very good guy <br>Meet him once u will realise what im saying <br>He&#39;s veryyyyyyy down to earth or sanskari londa hai 😂,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",371,ranveer kapoor good guy br meet u realise im saying br 39 veryyyyyyy earth sanskari londa hai,10
50,YouTube,@warriorclan543,https://www.youtube.com/watch?v=dwg4BeFrx9g,Napotism false theory bcz you can see Abhishek bachan 😂<br>No one gives a dam about that he&#39;s son off amitabh<br>Yes he gets more chance but still he is flop bcz no acting skill<br>Even bigger example is fardin khan,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",372,napotism false theory bcz see abhishek bachan br one gives dam 39 son amitabh br yes gets chance still flop bcz acting skill br even bigger example fardin khan,10
51,YouTube,@chinmoysarma9564,https://www.youtube.com/watch?v=dwg4BeFrx9g,Bhai aaj audio thodi alag lag rahi hai,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",373,bhai aaj audio thodi alag lag rahi hai,10
52,YouTube,@saswatpatnaik181,https://www.youtube.com/watch?v=dwg4BeFrx9g,Rest of the podcast????,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",374,rest podcast,10
53,YouTube,@anishasaha4634,https://www.youtube.com/watch?v=dwg4BeFrx9g,"No Farrukh you are probably wrong about Fawad being inexperienced because by then,  Fawad was already 2 movies old in bollywood that too with lead roles. <br>So, they are basically referring to the fact that Karan Johar had a thing for Fawad Khan(you should know why 😋)<br><br>And why did you remove the 2nd part?? 😧",,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",375,farrukh probably wrong fawad inexperienced fawad already 2 movies old bollywood lead roles br basically referring fact karan johar thing fawad khan know br br remove 2nd part,10
54,YouTube,@kawishansari653,https://www.youtube.com/watch?v=dwg4BeFrx9g,Bhai Memes by Akhir k Impossible Try not to laugh k 2nd part par Reaction do please.,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",376,bhai memes akhir k impossible try laugh k 2nd part par reaction please,10
55,YouTube,@karanparikh1519,https://www.youtube.com/watch?v=dwg4BeFrx9g,Second part kidar gaya ???,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",377,second part kidar gaya,10
56,YouTube,@manishmishraji,https://www.youtube.com/watch?v=dwg4BeFrx9g,Aadha episode???? Classic KLPD,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",378,aadha episode classic klpd,10
57,YouTube,@manishmishraji,https://www.youtube.com/watch?v=dwg4BeFrx9g,Are some politicians created a ruckus. Accepted 5 cr as contribution to a charity and then fucked off. Mumbai sadly is in the grips of these right wing fanatics.,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",379,politicians created ruckus accepted 5 cr contribution charity fucked mumbai sadly grips right wing fanatics,10
58,YouTube,@suhailsingh7138,https://www.youtube.com/watch?v=dwg4BeFrx9g,Bhai please yrr react on aitihasik qtiyapa tvf,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",380,bhai please yrr react aitihasik qtiyapa tvf,10
59,YouTube,@nehakhan7003,https://www.youtube.com/watch?v=dwg4BeFrx9g,Part 2 is blocked.. hmm 😞,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",381,part 2 blocked hmm,10
60,YouTube,@gehoon,https://www.youtube.com/watch?v=dwg4BeFrx9g,"Ranveer was subtly referring to Karan Johar&#39;s rumoured homosexuality, having crush on Fawad.",,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",382,ranveer subtly referring karan johar 39 rumoured homosexuality crush fawad,10
61,YouTube,@kirankhan6002,https://www.youtube.com/watch?v=dwg4BeFrx9g,Kha gye new video,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",383,kha gye new video,10
62,YouTube,@gauravg8987,https://www.youtube.com/watch?v=dwg4BeFrx9g,Bro what happened to 2 part,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",384,bro happened 2 part,10
63,YouTube,@PratikShinde182,https://www.youtube.com/watch?v=dwg4BeFrx9g,Bhai aawaz gunj rahi hai..kya hua?,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",385,bhai aawaz gunj rahi hai kya hua,10
64,YouTube,@zeus-xb3to,https://www.youtube.com/watch?v=dwg4BeFrx9g,Doesn&#39;t get notification.,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",386,39 get notification,10
65,YouTube,@sudarshan3965,https://www.youtube.com/watch?v=dwg4BeFrx9g,Nepotism can give you first film but after that only your talent matters.<br>But due to it normal talented actors suffer,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",387,nepotism give first film talent matters br due normal talented actors suffer,10
66,YouTube,@gauravdimri8009,https://www.youtube.com/watch?v=dwg4BeFrx9g,React to &quot;My first film: Raju Hirani&quot;,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",388,react quot first film raju hirani quot,10
67,YouTube,@Shahhussain1-x4h,https://www.youtube.com/watch?v=dwg4BeFrx9g,Bhai 2nd part bhi saath me daalna tha .😶,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",389,bhai 2nd part bhi saath daalna tha,10
68,YouTube,@kennygill8748,https://www.youtube.com/watch?v=dwg4BeFrx9g,Why I did not get the notification fir this????? Maine toh ghanta bhi bajaa rakhaa hai...,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",390,get notification fir maine toh ghanta bhi bajaa rakhaa hai,10
69,YouTube,@bhaveshchaturvedi1269,https://www.youtube.com/watch?v=dwg4BeFrx9g,ye kal to maine check kiya tha tab to dikha nahi tha .......,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",391,ye kal maine check kiya tha tab dikha nahi tha,10
70,YouTube,@kishornachare3628,https://www.youtube.com/watch?v=dwg4BeFrx9g,Bhaijaan react on bhavesh joshi superhero new teaser coming out..must watch..👌👍,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",392,bhaijaan react bhavesh joshi superhero new teaser coming must watch,10
71,YouTube,@batsat11doesntbowl77,https://www.youtube.com/watch?v=dwg4BeFrx9g,Disarming,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",393,disarming,10
72,YouTube,@aniruddh1997,https://www.youtube.com/watch?v=dwg4BeFrx9g,Karan johar giving fawad Khan extra direction is not about him being new or inexperienced its about something else if you know what I mean... <b>wink</b>,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",394,karan johar giving fawad khan extra direction new inexperienced something else know mean b wink b,10
73,YouTube,@priyakhatwani5575,https://www.youtube.com/watch?v=dwg4BeFrx9g,Finally vedio came 😍 when u r reacting on men&#39;s world,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",395,finally vedio came u r reacting men 39 world,10
74,YouTube,@belikesingh4845,https://www.youtube.com/watch?v=dwg4BeFrx9g,"if they were talented already then they wont be needed the sheild of nepotisim ,who are not talented enough they only take help of nepotisim",,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",396,talented already wont needed sheild nepotisim talented enough take help nepotisim,10
75,YouTube,@vaibhavsharma7737,https://www.youtube.com/watch?v=dwg4BeFrx9g,REACT ON GURU RANDHAWA LAHORE,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",397,react guru randhawa lahore,10
76,YouTube,@vaibhavsharma7737,https://www.youtube.com/watch?v=dwg4BeFrx9g,REACT ON LAHORE,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",398,react lahore,10
77,YouTube,@ankitkaushal8011,https://www.youtube.com/watch?v=dwg4BeFrx9g,Good one bro:),,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",399,good one bro,10
78,YouTube,@RitzMatt,https://www.youtube.com/watch?v=dwg4BeFrx9g,Ur audio is messed up.. stopped watching this vid after a min,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",400,ur audio messed stopped watching vid min,10
79,YouTube,@janviacharya3864,https://www.youtube.com/watch?v=dwg4BeFrx9g,New shirt...it looks good on u..but...the characters on it is kind of distracting and not creating a visual impact...specially when we have to watch both Podcast and ur reaction...Just pointing it out...it’s my opinion.,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",401,new shirt looks good u characters kind distracting creating visual impact specially watch podcast ur reaction pointing opinion,10
80,YouTube,@musiciiansankalp5305,https://www.youtube.com/watch?v=dwg4BeFrx9g,Aage ka bhi bana bhai i am huge die hard fan of Ranbir 😍😍😍,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",402,aage ka bhi bana bhai huge die hard fan ranbir,10
81,YouTube,@himanshujoshi8730,https://www.youtube.com/watch?v=dwg4BeFrx9g,bhai enter key araam se press kra kar,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",403,bhai enter key araam se press kra kar,10
82,YouTube,@zeeshanAli-xb7bu,https://www.youtube.com/watch?v=dwg4BeFrx9g,Sach bata ye video kab bnaya tha ?,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",404,sach bata ye video kab bnaya tha,10
83,YouTube,@thefolk8687,https://www.youtube.com/watch?v=dwg4BeFrx9g,"It shows 19 hours ago, only 158 views. Bhai",,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",405,shows 19 hours ago 158 views bhai,10
84,YouTube,@pseudoinsudo,https://www.youtube.com/watch?v=dwg4BeFrx9g,"bhai Nawaz wala dekho .. mind blow ho jaega .. almost shahrukh level . Ye thoda sa boring hai ,kafi diplomacy",,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",406,bhai nawaz wala dekho mind blow ho jaega almost shahrukh level ye thoda sa boring hai kafi diplomacy,10
85,YouTube,@nikishere911,https://www.youtube.com/watch?v=dwg4BeFrx9g,2nd part,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",407,2nd part,10
86,YouTube,@basant0908,https://www.youtube.com/watch?v=dwg4BeFrx9g,"Hey Bro...love your channel...Watch this movie--pretty good movie on India-Pakistan, let me know of your thoughts... happy bhag jayegi",,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",408,hey bro love channel watch movie pretty good movie india pakistan let know thoughts happy bhag jayegi,10
87,YouTube,@sevenheaven181,https://www.youtube.com/watch?v=dwg4BeFrx9g,at last something to get through this boring evening,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",409,last something get boring evening,10
88,YouTube,@sevenheaven181,https://www.youtube.com/watch?v=dwg4BeFrx9g,It just showed up even though the uploaded time shows 19 hours ago,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",410,showed even though uploaded time shows 19 hours ago,10
89,YouTube,@Top11CollectionByMe,https://www.youtube.com/watch?v=dwg4BeFrx9g,Why u didn&#39;t use external mic today???,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",411,u 39 use external mic today,11
90,YouTube,@UncleZeeKy,https://www.youtube.com/watch?v=dwg4BeFrx9g,not first but second,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",412,first second,11
91,YouTube,@widamnshar,https://www.youtube.com/watch?v=dwg4BeFrx9g,Why does this have only 56 views bro????😐,,,,"Video: Pakistani Reacts to Ranbir Kapoor Podcast with AIB Part 1/8, Channel: Pakistani Reacts",413,56 views bro,11
