Count,Username,Post URL,Caption,Post Date,Likes,Comments
11,gtuedutr,https://www.instagram.com/p/DAhxfseIRt5/,"🎓 GTÜ Mezunları Yeniden Bir Arada!  Ulaştırma ve Altyapı Bakan Yardımcısı, değerli mezunumuz Osman Boyraz’ın katılımıyla GTÜ Mezunlar Buluşması gerçekleşti! 👏 Rektörümüz Prof. Dr. Hacı Ali Mantar’ın açılış konuşması ve Mezunlar Ofisi Koordinatörü Dr. Neslihan Başaran’ın sunumu büyük ilgi gördü. 🌟 Ayrıca, fuaye alanında sergilenen öğrenci projeleri mezunlarımızın beğenisini topladı. Gurur kaynağımız olan tüm mezunlarımıza teşekkür eder, bir sonraki buluşmada yeniden görüşmeyi dileriz! 💼💫  🎓 GTÜ Alumni Reunite! We gathered with alumni from different years at the GTÜ Alumni Reunion, featuring our distinguished alumnus, Deputy Minister of Transport and Infrastructure Osman Boyraz! 👏 The event opened with a speech from our Rector, Prof. Dr. Hacı Ali Mantar, followed by a presentation from the Alumni Office Coordinator, Dr. Neslihan Başaran. 🌟 The student project exhibition in the foyer also attracted great interest. We are proud of all our alumni and look forward to seeing everyone at the next reunion! 💼💫  #GTÜ #GebzeTech #GebzeTechnicalUniversity #GTÜMezunlar #GTÜAilesi #MezunlarBuluşması #ÜniversiteHayatı #AlumniEvent #Networking #Kariyer #Career #Bilim #Science #Teknoloji #Technology #Liderlik #Leadership #Başarı #Success #Gelecekİçin #ForTheFuture #ÖğrenciProjeleri #StudentProjects #MezunlarımızlaGururDuyuyoruz #ProudOfOurAlumni #gebzetekniküniversitesi",2024-09-30 04:22:08,,
12,gtuedutr,https://www.instagram.com/p/DAc70ocNaY0/,"👩‍🏫👨‍🏫 Akademisyenlerimizden Avrupa Araştırmacılar Gecesi’ne Katkı! 🌍✨  Akademisyenlerimiz, Kocaeli Üniversitesi ortaklığı ve Sakarya Üniversitesi koordinatörlüğünde gerçekleştirilen ""The Science for Stronger Societies (SCIENCE&FUTURE)"" adlı Ufuk Avrupa Projesi kapsamında, Kocaeli İl Milli Eğitim Müdürlüğü'nün katkılarıyla ortaokul, lise öğrencileri ve öğretmenlerin katıldığı ""İklim Değişikliği, Doğal Afetler ve Dayanıklı Yapılar"" temalı Avrupa Araştırmacılar Gecesi'ne destek verdi. 🧪🧬 Geleceğe yönelik bu önemli projede emeği geçen tüm akademisyenlerimize teşekkür ederiz! 🌟  👩‍🏫👨‍🏫 Our Academics Contribute to the European Researchers’ Night! 🌍✨  Our academics participated in the European Researchers’ Night organized under the ""The Science for Stronger Societies (SCIENCE&FUTURE)"" Horizon Europe Project, in partnership with Kocaeli University and coordinated by Sakarya University. The event, with the participation of Kocaeli Provincial Directorate of National Education, middle school and high school students, and teachers, focused on the theme of ""Climate Change, Natural Disasters, and Resilient Structures."" 🧪🧬 We thank all our academics who contributed to this significant project for the future! 🌟  #GTÜ #GebzeTech #GebzeTechnicalUniversity #İklimDeğişikliği #ClimateChange #DoğalAfetler #NaturalDisasters #DayanıklıYapılar #ResilientStructures #Araştırma #Research #Eğitim #Education #ScienceAndFuture #HorizonEurope #AraştırmacılarGecesi #ResearchersNight #Bilim #Science #Bilimİnsanı #Scientist #AkademikBaşarı #AcademicSuccess #ÜniversiteHayatı #UniversityLife #Gelecekİçin #ForTheFuture #GTÜAkademi #GebzeTeknikÜniversitesi",2024-09-28 07:16:10,,
13,gtuedutr,https://www.instagram.com/p/DAaw7yZNxNE/,"Haluk Öztekin GTÜ’de Gençlerle Buluştu! 📚✨ Gebze Teknik Üniversitesi Kütüphane ve Dokümantasyon Dairesi Başkanlığı tarafından düzenlenen söyleşide, Kişisel Gelişim Uzmanı ve ""Sevgi Dili"" kitabının yazarı Haluk Öztekin, öğrencilerimizle buluştu. 26 Eylül Perşembe günü gerçekleşen etkinlikte Öztek, gençlerle hayat felsefesi ve kişisel gelişim üzerine keyifli bir sohbet gerçekleştirdi. 📖💬 Etkinlik sonunda katılımcılar, Öztek'in kitabını imzalatma fırsatı buldu. 🖊️👏  Haluk Öztekin Meets with Students at GTÜ! 📚✨ Haluk Öztekin, the Personal Development Expert and author of the book ""Language of Love,"" was the guest of honor at the seminar organized by the Gebze Technical University Library and Documentation Department. On Thursday, September 26th, he engaged in an inspiring conversation with our students about life philosophy and personal development. 📖💬 After the event, participants had the opportunity to get their copies of his book signed by Öztek. 🖊️👏  #GTÜ #GebzeTech #GebzeTechnicalUniversity #haluköztekin #KişiselGelişim #Gebzetekniküniversitesi #SevgiDili #LanguageOfLove #GençlerleBuluşma #MeetingWithYouth #GTÜEtkinlik #UniversityLife #ÜniversiteHayatı #İmzaGünü #BookSigning #Söyleşi #Seminar #KütüphaneEtkinliği #LibraryEvent #Eğitim #Education #Kitap #Book #Kariyer #Career #Başarı #Success #Inspiration #İlham #GTÜKültürSanat",2024-09-27 11:02:32,,
14,gtuedutr,https://www.instagram.com/p/DAY2H7TNluC/,"2024 Teknofest Uluslararası İnsansız Hava Aracı Yarışması kapsamında kulübümüz bünyesinde bulunan GTU-ASSOS ve GTU-AQUA takımlarımız 685 takım arasından ilk 44'e kalarak büyük bir başarı göstermiş ve finalere katılmaya hak kazanmıştır. Ayrıca yarışma alanında gösterdiği başarılı performans sayesinde GTU-ASSOS takımımız yarışmayı 4.lük derecesi alarak tamamlamıştır. 🏅✈  Yarışma dönemi boyunca gece gündüz demeden çalışan tüm takım arkadaşlarımızı tebrik ediyor, başarılarının devamını diliyoruz. Ayrıca yarışma dönemi boyunca bizlerden desteklerini esirgemeyen başta Sayın Rektörümüz Prof. Dr. Hacı Ali MANTAR, Kulüp Akademik Danışmanımız Prof. Dr. İlyas KANDEMİR, üniversitemiz Genel Sekreteri Nadir YILDIRIM ve KAGEM Müdürü Prof. Dr. Mustafa TÜRKMEN olmak üzere tüm hocalarımıza ve idari personellerimize teşekkür ediyoruz.  Ayrı bir teşekkürü de sponsorlarımıza etmek istiyoruz. Yarışma dönemi boyunca bizleri destekleyen, maddi manevi yanımızda olan tüm destekçilerimize teşekkür ediyor, sizlerin destekleriyle daha fazla çalışıp hep bir adım daha öteye gideceğimize söz veriyoruz. @gtuedutr @klavuzgenclik @gebze_belediyesi @biesse @derbykimya @crealityturkiye @kompozitpazari @korfezbelediyesi @teknoyapikimyasallari @nmdisticaret @tmotorfixedwing @promakim @ekomponent çelmerçelikendüstrisi elesaganter ÖzgürTraktörZiraatMTC @ivmegumruk",2024-09-26 17:09:24,,
15,gtuedutr,https://www.instagram.com/p/DAYFoH9tkI6/,"Gebze Teknik Üniversitesi YTG-Biogas-İnnovators takımı, Teknofest 2024’te Biyoteknoloji ve İnovasyon kategorisinde 1. oldu! 🥇 Öğrencilerimizi bu muhteşem başarılarından dolayı tebrik ederiz! 👏✨ Gururumuz oldunuz! 💪  Gebze Technical University's YTG-Biogas-Innovators team won 1st place in the Biotechnology and Innovation category at Teknofest 2024! 🥇 We congratulate our students for this incredible success! 👏✨ You made us proud! 💪  #GTÜ  #GebzeTeknikÜniversitesi #GebzeTech #GebzeTechnicalUniversity #Teknofest2024 #Teknofest #YTG #BiogasInnovators #Biyoteknoloji #Biotechnology #İnovasyon #Innovation #Başarı #Success #ÖğrenciBaşarısı #StudentSuccess #ÜniversiteHayatı #UniversityLife #GTÜEtkinlik #Mühendislik #Engineering #Bilim #Science #Gelecekİçin #ForTheFuture #GururDuyuyoruz #WeAreProud #GeleceğinLiderleri #FutureLeaders",2024-09-26 10:05:38,,
16,gtuedutr,https://www.instagram.com/p/DAYFJFiNXj5/,"Mezunumuz CERN’de Bilim Yolculuğuna Başladı! 👩‍🎓 Geleceğini Gebze Teknik Üniversitesi’nde (GTÜ) inşa eden öğrencilerin uluslararası başarılarına bir yenisi daha eklendi. 2024 GTÜ İşletme Fakültesi İşletme Bölümü Mezunu Züleyha Koçak Avrupa Nükleer Araştırma Merkezi olan 🌎CERN'den Administrative Student olarak kabul aldı. Mezun Öğrencimizi tebrik ederiz, başarılarının devamını dileriz.🎉👏 Our graduate started her scientific journey at CERN! 👩‍🎓 A new one has been added to the international achievements of the students who are building their future at Gebze Technical University (GTU). Züleyha Koçak, a 2024 graduate of GTU Faculty of Business Administration, Department of Business Administration, has been accepted as an administrative student by CERN, the European Center for Nuclear Research. We congratulate our graduate and wish her further success.🎉  #GTÜ #GebzeTech #GebzeTechnicalUniversity #MezunBaşarısı #AlumniSuccess #CERN #Bilim #Science #İşletme #BusinessAdministration #GTÜMezunları #GTÜProud #ÜniversiteHayatı #UniversityLife #UluslararasıBaşarı #InternationalSuccess #BaşarıHikayesi #SuccessStory #Kariyer #Career #GururDuyuyoruz #WeAreProud #BilimYolculuğu #ScientificJourney #Gelecekİçin #ForTheFuture #GeleceğinLiderleri #FutureLeaders #GTÜAilesi #gebzetekniküniversitesi Üniversitesi",2024-09-26 10:01:24,,
17,gtuedutr,https://www.instagram.com/p/DAYDXy9NWe9/,"👨‍🎓👩‍🎓 Öğrenci Kulüplerimizin Tanıtım Günleri Coşkuyla Devam Ediyor! 💯  Rektör Yardımcılarımız Prof. Dr. Damla Arısan, Prof. Dr. Mahmut Durmuş ve Prof. Dr. Hasari Çelebi, Genel Sekreterimiz Nadir Yıldırım ve Rektörlük Özel Kalem Müdürü Dinçer Ekinci, öğrenci kulüplerimizin standlarını ziyaret ederek destek verdiler. 🎉  👨‍🎓👩‍🎓 Student Club Promotion Days are in Full Swing! 💯  Our Vice Rectors Prof. Dr. Damla Arısan, Prof. Dr. Mahmut Durmuş, and Prof. Dr. Hasari Çelebi, along with Secretary General Nadir Yıldırım and Rector's Chief of Staff Dinçer Ekinci, visited the student club stands to show their support. 🎉  #GTÜ #GebzeTeknikÜniversitesi #GebzeTech #GebzeTechnicalUniversity #ÖğrenciKulüpleri #StudentClubs #GTÜEtkinlik #KampüsHayatı #CampusLife #TanıtımGünleri #PromotionDays #Rektörlük #Rectorate #AkademikDestek #AcademicSupport #ÜniversiteHayatı #UniversityLife #Eğitim #Education #ÖğrenciEtkinlikleri #StudentEvents #Liderlik #Leadership #GelecekLiderleri #FutureLeaders #ToplulukRuhu #CommunitySpirit #ÖğrenciBirliği #StudentUnion",2024-09-26 09:48:52,,
18,gtuedutr,https://www.instagram.com/p/DAS7TVENJzH/,"🌿Yeni kayıt yaptıran öğrencilerimizin👨‍🎓👩‍🎓 giriş yıllarını temsilen 24 adet Zeytin Fidanı🌱 GTÜ Toplumsal Katkı Koordinatörlüğü ve GTÜ Genç Tema Topluluğu işbirliği ile toprakla buluştu.🌳  To celebrate the arrival of our new students, 24 olive saplings 🌱 were planted in cooperation with the GTÜ Social Contribution Coordination and GTÜ Young TEMA Club, symbolizing the year they joined. 🌳 We hope these saplings grow as strong and vibrant as our students! 💚  #GTÜ #GebzeTech #GebzeTeknikUniversitesi #YeniÖğrenciler #WelcomeNewStudents #GTÜOryantasyon #GTÜEtkinlik #KampüsHayatı #CampusLife #ÇevreDuyarlılığı #Sustainability #ZeytinFidanı #OliveTree #ToplumsalKatkı #SocialResponsibility #AğaçDikme #TreePlanting #DoğaSeverler #NatureLovers #YeşilKampüs #GreenCampus #GençTema #StudentInitiative #Gelecekİçin #ForTheFuture #ÜniversiteHayatı #UniversityLife",2024-09-24 09:59:13,,
19,gtuedutr,https://www.instagram.com/p/DASmfMlCvxd/,"Oryantasyon kapsamında, TV+ sponsorluğunda düzenlenen açık hava sineması etkinliği ile yıldızların altında film keyfi yaşandı! 🍿🎥 DJ performansı ile kampüste coşku doruktaydı! Enerjisi yüksek bu akşamı kaçırmayan tüm öğrencilerimize teşekkürler! 💙✨  As part of the orientation, we enjoyed a movie under the stars at the Open Air Cinema event sponsored by TV+! 🍿🎥 The excitement on campus reached its peak with a great DJ performance! Thank you to all our students who did not miss this energetic evening! 💙✨  #GTÜ #GebzeTech #GebzeTechnicalUniversity #TVPlus #TVPlusSinema #GTÜOryantasyon #ÜniversiteHayatı #AçıkHavaSinema #DJPerformansı #KampüsEtkinlikleri #KampüsHayatı #GTÜEtkinlik #ÖğrenciHayatı #Mühendislik #Eğitim #ÜniversiteEtkinlikleri #FilmKeyfi #SinemaGecesi #Üniversiteli #YıldızlarınAltında #KampüsAşkı #GelecekSizin #KampüsRuhu #GTÜKültürSanat #Gençli",2024-09-24 06:57:20,,
20,gtuedutr,https://www.instagram.com/p/DAQsovuxB8y/,"Yeni kayıt yaptıran öğrencilerimize yönelik hazırlanan oryantasyon programı gün boyunca süren etkinlikler ile gerçekleştirildi. GTÜ ailemizin yeni üyelerine aramıza hoşgeldiniz diyerek, hedefledikleri kariyere ulaşma süreçinde başarılar diliyoruz.👨‍🎓👩‍🎓🎉💐  The orientation program for our newly enrolled students was held with activities throughout the day. We welcome the new members of our GTU family and wish them success in achieving their career goals.👨‍🎓👩‍🎓🎉💐 #gebzetekniküniversitesi #gtu #gtü",2024-09-23 13:13:11,,
